id,ad_id,session_id,user_ip,timestamp
1982,3,a3ce6574d129e2dd3a85c1e6a5613871,79.143.176.4,1215692226
1983,3,e041d926272107389e9a0720de2d9675,93.172.16.62,1215692328
1984,3,a3ce6574d129e2dd3a85c1e6a5613871,79.143.176.4,1215692328
1985,3,ae392a450f375a5dd75fc8862c3ac00b,151.204.226.181,1215692443
1986,3,e3aaf329072411aa64e88d48bf811e91,217.132.187.150,1215692682
1987,3,bc976ff7852cde77c2030b0a315bdf03,87.69.50.194,1215692770
1988,3,0fe292669f49c82b234fcbfb6d9f8433,217.132.74.77,1215693196
1989,3,8fc1d6a8daaba1691029da1d983914f8,87.68.239.114,1215694106
1990,3,e076da810b2dea3abfda88474f58b96c,84.228.242.234,1215695409
1991,3,fab56d7085b4b257e23900135162a84a,77.127.238.175,1215695991
1992,3,79b76a2a7886d907edd3d47382023fcd,79.183.103.232,1215696482
1993,3,c83860df37b54ca3996a6b361350444b,81.17.155.136,1215696846
1994,3,5a39031241845b49fdb56d29ef8ae2bd,24.62.26.28,1215696886
1995,3,3a40c2b34877a124808631deb76ad039,77.127.238.175,1215697781
1996,3,bc976ff7852cde77c2030b0a315bdf03,87.69.50.208,1215697917
1997,3,b38e2a9d1bf434b8cad430d2af743b12,79.183.151.107,1215698374
1998,3,edba0a7e2b48650bdd06ad7a082217dd,84.109.7.116,1215698401
1999,3,43f7ed29ff1ade92e90e1e2d6d867484,79.178.109.128,1215698598
2000,3,53629e47fb33e144d5ca32dae5ac9074,151.204.226.181,1215699103
2001,3,d5bf27ff557aef248fc4edf207d085f4,80.179.117.219,1215699434
2002,3,b5f928e9b1c6e09a2bdc083fdb567cd5,85.117.58.184,1215699837
2003,3,b5f928e9b1c6e09a2bdc083fdb567cd5,85.117.58.184,1215699840
2004,3,dfe778951917fe35ddf4aef72e2192a0,84.108.209.253,1215700159
2005,3,c6e5289e4306c7b4a1b9688cd92aaded,85.250.196.23,1215700172
2006,3,dfe778951917fe35ddf4aef72e2192a0,84.108.209.253,1215700690
2007,3,07acdd95d07e6e2a7fb37895c0b00995,84.109.128.209,1215700781
2008,3,edba0a7e2b48650bdd06ad7a082217dd,84.109.7.116,1215701194
2009,3,f2639d712c11abab9e9f4afad6e27838,79.178.109.128,1215701472
2010,3,9370cbbe09f1a491e13d6e87bb197bd2,84.228.21.101,1215701652
2011,3,f2639d712c11abab9e9f4afad6e27838,79.178.109.128,1215701747
2012,3,3cbbf9a800859ecd9a709d4862b7d6bd,217.132.156.55,1215702944
2013,3,7c49b442933cbda5b599e0326eb78c5b,87.68.239.114,1215703301
2014,3,f8b7b3c2d16391ed81ffd9064589be9f,92.48.122.147,1215703356
2015,3,ff37c2a4eaeb1ffdfd642794a3a59302,212.143.91.97,1215704285
2016,3,8d130bbf15b5c2781ebaf0d9a92040f9,89.139.31.17,1215704355
2017,3,e42163fbf737ed7ee7ca841e1e4cd536,84.109.70.27,1215704565
2018,3,e42163fbf737ed7ee7ca841e1e4cd536,84.109.70.27,1215704599
2019,3,f73aec6c330ec93a2273a465f60207d1,84.108.209.253,1215704765
2020,3,f73aec6c330ec93a2273a465f60207d1,84.108.209.253,1215705136
2021,3,cee74f1fcc052735af4474364fb0c394,79.177.117.11,1215705559
2022,3,7a3ff5a216adb7ddf53afdaea2ab8c40,87.69.67.110,1215705767
2023,3,7a3ff5a216adb7ddf53afdaea2ab8c40,87.69.67.110,1215705771
2024,3,296faeef8066009c67fabfcc0f7f03df,77.127.238.175,1215706030
2025,3,f73aec6c330ec93a2273a465f60207d1,84.108.209.253,1215706287
2026,3,bc976ff7852cde77c2030b0a315bdf03,87.69.50.208,1215706634
2027,3,53629e47fb33e144d5ca32dae5ac9074,151.204.226.181,1215706772
2028,3,53629e47fb33e144d5ca32dae5ac9074,151.204.226.181,1215706769
2029,3,b5f928e9b1c6e09a2bdc083fdb567cd5,85.117.58.184,1215706826
2030,3,aaba385a7b09aed63652dbd02cae0286,79.181.175.226,1215706974
2031,3,cd5db305f9191fed6826c03cd15f1f63,89.1.39.218,1215707744
2032,3,cee74f1fcc052735af4474364fb0c394,79.176.153.145,1215708396
2033,3,198af73676531a634b9739113f30247f,78.139.137.21,1215708869
2034,3,a7da3b91d5f22e8e9df9fcab35294a12,160.39.18.153,1215709216
2035,3,b60e481a4c076e26aa20adc800c4ca8b,71.249.181.65,1215709284
2036,3,e15a11439ee5b352f47bd146e4810ace,77.127.66.170,1215709781
2037,3,a6888ad837fb8dae590904643cacdf88,213.89.160.197,1215710554
2038,3,53629e47fb33e144d5ca32dae5ac9074,151.204.226.181,1215710603
2039,3,6ae2dc51afae662ad2ceeeac23e2c80b,85.250.196.23,1215710877
2040,3,0f7e78b5fc588266d88ae80d057828dc,78.139.137.21,1215710950
2041,3,53629e47fb33e144d5ca32dae5ac9074,151.204.226.181,1215711774
2042,3,66c5166389e9b2c0e9ef8864e5d9cad8,89.139.198.246,1215711882
2043,3,76dc479ad6edfc02e9c5160948301804,62.219.146.136,1215711920
2044,3,198af73676531a634b9739113f30247f,78.139.137.21,1215712055
2045,3,cb5f1a9294e580c04d94f40d804be515,80.179.208.161,1215712126
2046,3,33e62488c852f51ae0433941e40a113d,84.228.21.101,1215713022
2047,3,a6888ad837fb8dae590904643cacdf88,213.89.160.197,1215713045
2048,3,0f8be00175246e00dd687f6b94d4dc2c,84.228.242.234,1215714099
2049,3,6642a6d0fb1f9c4f9624b7275e3cd86e,87.68.102.163,1215714412
2050,3,aaba385a7b09aed63652dbd02cae0286,79.181.175.226,1215715765
2051,3,b81bf84bff03526d0ede30bc31242def,78.139.137.21,1215716038
2052,3,152af28a0b34d5ce09f12a6ddfd4c28b,199.203.34.112,1215716293
2053,3,a6888ad837fb8dae590904643cacdf88,213.89.160.197,1215716401
2054,3,dadc5eab7441c1e852a01f264c6a72a1,212.150.121.26,1215716622
2055,3,114cde9c735c004fc0ce8f9501dedd90,79.183.151.107,1215717077
2056,3,d3255a56122b4b222e192f4df96ceae3,62.90.18.189,1215717124
2057,3,b114c1470391f1c485a230b25c86e373,84.109.99.95,1215717244
2058,3,8b5aaf3a4d01323f33c9fae45490df79,213.89.160.197,1215717277
2059,3,114cde9c735c004fc0ce8f9501dedd90,79.183.151.107,1215718162
2060,1,0a7d43d767bd8c28ce13dd07cc31a7d3,66.249.66.16,1215719292
2061,3,3c7917d9cb799e9e4260d484c4dc637a,217.194.206.247,1215719327
2062,3,4f58aeed57ca11cdf6e707e7ceb191dd,87.68.232.164,1215719445
2063,3,2afbb06fcc20e72b4fa28f98411af6e8,212.143.91.97,1215719466
2064,3,7bfc9ca303d249eca419ee390f78bdb5,89.138.70.37,1215720148
2065,3,214447c40a907e38cbf7e1a199c29e6a,82.166.243.210,1215720436
2066,3,85172dc2accce961c4b7d353ed7f48ae,84.108.254.106,1215720505
2067,3,85172dc2accce961c4b7d353ed7f48ae,84.108.254.106,1215720691
2068,3,9f220994ecc23ad53416d351cdc6392b,79.181.11.203,1215720805
2069,3,6cb34c14d35d3375c3306bda0774eb68,79.178.9.126,1215720914
2070,3,1e00aad3a928fb21e7efb0bd722ed80e,84.109.73.140,1215720922
